カテゴリ,項目,現状/仮置き,確認状況,備考
===== 基本情報 =====,,,,
会社情報,会社名（正式名称）,株式会社Harayan（仮）,未確認,
会社情報,代表者名,○○ ○○（仮）,未確認,
会社情報,設立年月,2024年（仮）,未確認,
会社情報,本社所在地,〒000-0000 東京都○○区○○（仮）,未確認,
会社情報,電話番号,03-0000-0000（仮）,未確認,
会社情報,メールアドレス,info@harayan.example.com（仮）,未確認,
ブランド,サイト名/ブランド名,Harayan（仮）,未確認,
ブランド,キャッチコピー,光をとどける（仮）,未確認,
ブランド,ロゴデータ,未提供,未確認,SVG/PNG（透過）希望
ブランド,ファビコン,仮アイコン,未確認,PNG 512x512
ブランド,OGP画像（SNSシェア用）,未設定,未確認,PNG 1200x630
===== 店舗情報：八十八 浅草 =====,,,,
八十八 浅草,住所,〒111-0032 東京都台東区浅草 X-X-X（仮）,未確認,
八十八 浅草,電話番号,未設定,未確認,
八十八 浅草,営業時間,10:00 - 19:00（仮）,未確認,
八十八 浅草,定休日,不定休（仮）,未確認,
八十八 浅草,Google Map URL,未設定,未確認,
八十八 浅草,予約URL（TableCheck等）,未設定,未確認,
===== 店舗情報：八十八 渋谷 =====,,,,
八十八 渋谷,住所,〒150-0002 東京都渋谷区渋谷 X-X-X（仮）,未確認,
八十八 渋谷,電話番号,未設定,未確認,
八十八 渋谷,営業時間,11:00 - 20:00（仮）,未確認,
八十八 渋谷,定休日,不定休（仮）,未確認,
八十八 渋谷,Google Map URL,未設定,未確認,
八十八 渋谷,予約URL（TableCheck等）,未設定,未確認,
===== 店舗情報：八十八 鎌倉 =====,,,,
八十八 鎌倉,住所,〒248-0006 神奈川県鎌倉市小町 X-X-X（仮）,未確認,
八十八 鎌倉,電話番号,未設定,未確認,
八十八 鎌倉,営業時間,10:00 - 18:00（仮）,未確認,
八十八 鎌倉,定休日,水曜日（仮）,未確認,
八十八 鎌倉,Google Map URL,未設定,未確認,
八十八 鎌倉,予約URL（TableCheck等）,未設定,未確認,
===== 店舗情報：A kyoto =====,,,,
A kyoto,住所,〒605-0074 京都府京都市東山区祇園町 X-X-X（仮）,未確認,
A kyoto,電話番号,075-XXX-XXXX（仮）,未確認,
A kyoto,営業時間（ランチ）,11:30 - 14:00（仮）,未確認,
A kyoto,営業時間（ディナー）,17:30 - 22:00（仮）,未確認,
A kyoto,定休日,月曜日（仮）,未確認,
A kyoto,Google Map URL,未設定,未確認,
A kyoto,予約URL（TableCheck等）,未設定,未確認,
===== 店舗情報：B kyoto =====,,,,
B kyoto,住所,〒605-0074 京都府京都市東山区祇園町 X-X-X（仮）,未確認,
B kyoto,電話番号,075-XXX-XXXX（仮）,未確認,
B kyoto,営業時間（カフェ）,12:00 - 17:00（仮）,未確認,
